date,product_id,quantity,discount
2025-08-19,P109,1,0
2025-08-19,P104,4,5
2025-08-19,P184,0,5
2025-08-19,P108,3,0
2025-08-19,P122,3,10
2025-08-19,P133,4,5
2025-08-19,P196,3,0
2025-08-19,P132,0,10
2025-08-19,P116,1,5
2025-08-19,P159,0,0
2025-08-19,P122,4,5
2025-08-19,P160,3,0
2025-08-19,P167,1,10
2025-08-19,P140,4,10
2025-08-19,P137,1,10
2025-08-19,P186,3,10
2025-08-19,P132,4,5
2025-08-19,P111,5,10
2025-08-19,P109,5,5
2025-08-19,P193,3,0
2025-08-19,P176,7,0
2025-08-19,P109,1,0
2025-08-19,P115,9,10
2025-08-19,P197,1,0
2025-08-19,P182,2,5
2025-08-19,P184,2,5
2025-08-19,P177,0,0
2025-08-19,P166,3,10
2025-08-19,P112,3,10
2025-08-19,P101,0,5
2025-08-19,P124,1,10
2025-08-19,P150,6,0
2025-08-19,P142,0,5
2025-08-19,P155,0,10
2025-08-19,P140,3,10
2025-08-19,P132,1,5
2025-08-19,P163,0,5
2025-08-19,P196,4,5
2025-08-19,P146,3,10
2025-08-19,P194,1,0
2025-08-19,P110,4,0
2025-08-19,P195,1,5
2025-08-19,P172,2,5
2025-08-19,P120,1,10
2025-08-19,P144,3,0
2025-08-19,P180,0,0
2025-08-19,P125,4,5
